name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	4	4	0.0
Myxococcales	29	order	9638245	8	0	0.0
Myxococcus xanthus	34	species	9139763	2	2	0.0
Myxococcus macrosporus	35	species	8973512	1	0	0.0
Cystobacter fuscus	43	species	12349744	2	0	0.0
Chondromyces crocatus	52	species	11388132	2	1	0.0
Sorangium cellulosum	56	species	13907952	12	7	0.0
Vitreoscilla filiformis	63	species	3787551	2	0	0.0
Lysobacter enzymogenes	69	species	12227539	1	0	0.0
Stella humosa	94	species	5832650	6	2	0.0
Planctomycetales	112	order	5733343	2	0	0.0
Gemmata	113	genus	0	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	2	2	0.0
Planctomyces	118	genus	0	1	0	0.0
Gimesia maris	122	species	15634937	1	0	0.0
Planctomycetaceae	126	family	5733343	1	0	0.0
Spirochaetales	136	order	1876294	2	0	0.0
Treponema	157	genus	2490077	2	0	0.0
Treponema phagedenis	162	species	17151030	8	1	0.0
Leptospira	171	genus	5319704	2	0	0.0
Leptospira borgpetersenii	174	species	4736323	1	1	0.0
Azospirillum brasilense	192	species	50779208	11	0	0.0
Campylobacter	194	genus	2403822	1	1	0.0
Campylobacter coli	195	species	1776238	2	1	0.0
Campylobacter jejuni	197	species	3124996	1	0	0.0
Campylobacter concisus	199	species	2099413	2	0	0.0
Campylobacter showae	204	species	2160580	23	22	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Achromobacter	222	genus	7359146	1	0	0.0
Brucella	234	genus	4039663	1	0	0.0
Elizabethkingia meningoseptica	238	species	15625789	3	0	0.0
Chryseobacterium indologenes	253	species	35240523	2	2	0.0
Paracoccus denitrificans	266	species	5236194	2	0	0.0
Thermus thermophilus	274	species	2214494	1	0	0.0
Pseudomonas	286	genus	9017316	5	0	0.0
Pseudomonas aeruginosa	287	species	6798896	9	0	0.0
Burkholderia cepacia	292	species	13565292	4	0	0.0
Brevundimonas diminuta	293	species	3551819	1	1	0.0
Pseudomonas fluorescens	294	species	6604895	5	0	0.0
Pseudomonas fragi	296	species	10253943	1	0	0.0
Pseudomonas oleovorans	301	species	4686340	1	0	0.0
Pseudomonas putida	303	species	6160317	9	4	0.0
Ralstonia solanacearum	305	species	5757294	5	2	0.0
Pseudomonas stutzeri	316	species	4548207	4	3	0.0
Ralstonia pickettii	329	species	5505543	1	0	0.0
Xanthomonas	338	genus	23419814	2	0	0.0
Xanthomonas citri	346	species	27676482	3	2	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
